code_module,code_presentation,id_student,gender,region,highest_education,num_of_prev_attempts,studied_credits,disability,imd_band_numeric,age_0-35,age_35-55,age_55<=,weighted_grade,pass_rate,exam_taken,exam_score_filled,date,sum_click,withdrawn,true_result,predicted_result,proba_proba_Distinction,proba_proba_Fail,proba_proba_Pass,proba_proba_Withdrawn,predicted_risk,risk_proba_AtRisk,risk_proba_Success
GGG,2014B,626317,F,South West Region,Lower Than A Level,0,30,Y,45.0,False,True,False,0.0,0.3333333333333333,0.0,0.0,68.55700229312284,2.4163881110400633,0,Fail,Fail,0.04244642857142857,0.8507182539682537,0.10183531746031747,0.005,AtRisk,0.9703333333333333,0.029666666666666664
BBB,2013J,105527,F,Scotland,HE Qualification,0,120,N,45.0,False,True,False,0.0,1.0,0.0,0.0,135.83946908238687,1.6081780370341756,0,Pass,Pass,0.28434523809523804,0.1364424603174603,0.5792123015873015,0.0,Success,0.1355357142857143,0.8644642857142856
FFF,2014J,648190,M,North Region,Lower Than A Level,0,120,N,15.0,True,False,False,0.0,0.08333333333333333,0.0,0.0,-2.0496031746031744,1.7921957671957673,0,Fail,Fail,0.001,0.9874523809523811,0.006547619047619048,0.005,AtRisk,0.998,0.002
FFF,2014J,590381,M,East Anglian Region,Lower Than A Level,0,120,N,25.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1,Withdrawn,Withdrawn,0.0,0.0,0.0,1.0,AtRisk,1.0,0.0
DDD,2014B,626979,M,East Anglian Region,Lower Than A Level,0,60,N,95.0,True,False,False,0.0,0.6666666666666666,1.0,47.0,126.18753135114653,2.2632874992581637,0,Fail,Pass,0.009750000000000002,0.25726785714285716,0.7329821428571428,0.0,AtRisk,0.5353809523809524,0.46461904761904754
BBB,2013J,593694,F,Ireland,Lower Than A Level,0,60,N,55.0,False,True,False,0.0,1.0,0.0,0.0,128.14705934404068,1.78876247762741,0,Pass,Pass,0.050107142857142864,0.03026190476190476,0.9196309523809525,0.0,Success,0.014166666666666666,0.9858333333333335
FFF,2014J,696662,F,South West Region,A Level or Equivalent,0,120,N,65.0,True,False,False,0.0,1.0,0.0,0.0,113.91400524705107,2.924620162398122,0,Distinction,Pass,0.2631865079365079,0.03667857142857143,0.7001349206349203,0.0,Success,0.01952380952380952,0.9804761904761905
DDD,2013B,533731,M,South West Region,Lower Than A Level,0,60,N,25.0,True,False,False,0.0,0.6377753701697364,0.5652582159624413,31.854460093896712,1.75,1.4583333333333333,0,Fail,Fail,0.0,0.9904999999999999,0.0095,0.0,AtRisk,1.0,0.0
BBB,2013J,531384,F,Scotland,Lower Than A Level,0,60,N,55.0,True,False,False,0.0,0.9090909090909091,0.0,0.0,133.0141305122761,1.8578073469374794,0,Pass,Pass,0.06486904761904762,0.12449404761904756,0.8106369047619048,0.0,Success,0.10297619047619047,0.8970238095238097
BBB,2013J,535269,F,London Region,A Level or Equivalent,1,60,N,25.0,True,False,False,0.0,0.2727272727272727,0.0,0.0,1.3131313131313131,1.6464646464646464,0,Fail,Fail,0.003,0.9790714285714286,0.017928571428571426,0.0,AtRisk,0.9945714285714286,0.005428571428571429
DDD,2014J,303341,F,North Western Region,Lower Than A Level,0,120,N,5.0,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1,Withdrawn,Withdrawn,0.0,0.0,0.0,1.0,AtRisk,1.0,0.0
FFF,2013B,497897,F,West Midlands Region,No Formal quals,1,120,N,15.0,True,False,False,0.0,0.5,0.0,0.0,66.83702273421024,5.030433386058386,0,Fail,Fail,0.006333333333333333,0.8695257936507937,0.12414087301587301,0.0,AtRisk,0.9260238095238097,0.07397619047619046
